Institution,Faculty,Gender,Age,Level,Exposed_to_Content,Frequency,Content_Type,Awareness_Increased,Learned_Deforestation,Influenced_Views,Pay_Attention,Follow_Pages,Platforms_Used_Raw,Main_Platform,Interaction_Type,Pref_Instagram,Pref_Twitter,Pref_WhatsApp,Pref_YouTube,Changed_Behavior,Actions_Taken_Raw,Social_Media_Motivates,Conscious_Increase,Speak_More,Feel_Responsible,Effective_Factor,Suggestions
University of Ibadan (UI),Renewable Natural Resources,Male,16–20,300 Level,Yes,Daily,Videos/Documentaries,5,4,4,4,Yes,Instagram,WhatsApp,I only view/read,2,4,5,4,Yes,"Shared Content, Tree-planting",3,5,5,4,Influencer promotion,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,400 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,Instagram,I only view/read,5,4,5,5,Yes,Shared Content,3,5,4,5,Simplicity and clarity,None
"The Polytechnic, Ibadan",Engineering,Male,21–25,100 Level,Yes,Weekly,Articles/Posts,5,4,4,5,Yes,"Instagram, Facebook",TikTok,I only view/read,3,4,5,3,No,None,5,3,2,5,Emotional storytelling,Collaborate with schools
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,200 Level,Yes,Rarely,Videos/Documentaries,2,3,3,1,No,"WhatsApp, Twitter (X), Instagram",Facebook,Like only,4,5,4,2,Yes,Shared Content,4,5,3,2,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,100 Level,Yes,Daily,Images/Posters,5,3,4,5,Yes,Instagram,Instagram,Participate in Challenges/Campaigns,5,2,4,5,Yes,Shared Content,4,5,5,3,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Engineering,Male,16–20,200 Level,Yes,Daily,Infographics,3,5,4,3,Not sure,WhatsApp,Instagram,Like only,4,3,3,5,Yes,"Donation, Shared Content",3,4,4,3,Real-life statistics,None
University of Ibadan (UI),Renewable Natural Resources,Female,26–30,200 Level,Yes,Weekly,Articles/Posts,3,4,2,2,Yes,WhatsApp,Instagram,Like & Comment,3,4,3,5,No,None,4,4,3,5,Strong visuals,Collaborate with schools
Lead City University (LCU),Law,Female,16–20,100 Level,Yes,Daily,Videos/Documentaries,5,4,4,4,No,Facebook,Instagram,Like only,5,3,5,2,Not sure,None,4,5,5,4,Strong visuals,None
"The Polytechnic, Ibadan",Science,Female,26–30,500 Level / Postgraduate,Yes,Daily,Videos/Documentaries,4,4,5,5,Yes,Instagram,YouTube,I only view/read,4,3,5,5,Yes,"Donation, Tree-planting",4,3,4,5,Strong visuals,None
Lead City University (LCU),Law,Female,16–20,300 Level,Yes,Daily,Images/Posters,3,5,4,5,No,"WhatsApp, YouTube",I do not engage,Like & Comment,4,3,4,2,No,None,4,4,5,4,Strong visuals,Good job
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,200 Level,Yes,Daily,Campaign Flyers,4,4,4,4,Yes,WhatsApp,Facebook,Like & Comment,5,5,2,2,No,None,2,5,3,5,Simplicity and clarity,None
University of Ibadan (UI),Social Sciences,Female,16–20,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,4,3,4,2,No,WhatsApp,Facebook,Participate in Challenges/Campaigns,5,3,5,4,No,None,1,4,5,4,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,400 Level,Yes,Daily,Images/Posters,3,5,3,3,Yes,"Instagram, Twitter (X)",Twitter (X),Participate in Challenges/Campaigns,5,3,4,4,No,None,2,4,5,4,Simplicity and clarity,None
Lead City University (LCU),Applied Sciences,Female,21–25,300 Level,Yes,Daily,Videos/Documentaries,5,4,5,5,No,"WhatsApp, Instagram",Twitter (X),I only view/read,4,3,4,3,No,None,5,3,4,5,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Business,Male,16–20,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,TikTok,WhatsApp,Like only,3,2,5,3,No,None,2,3,2,4,Influencer promotion,Good job
"The Polytechnic, Ibadan",Science,Male,26–30,300 Level,Yes,Weekly,Campaign Flyers,5,5,5,4,No,WhatsApp,Instagram,Like & Comment,2,2,3,2,No,None,2,2,3,3,Strong visuals,None
Lead City University (LCU),Management,Female,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,TikTok,YouTube,Participate in Challenges/Campaigns,4,3,5,3,No,None,3,2,1,2,Influencer promotion,More videos
"The Polytechnic, Ibadan",Business,Male,21–25,300 Level,Yes,Rarely,Images/Posters,2,3,2,2,No,WhatsApp,Facebook,I only view/read,4,3,3,2,No,None,2,3,2,4,Strong visuals,Make it relatable
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,Yes,Weekly,Videos/Documentaries,3,5,4,3,No,"WhatsApp, Facebook, Instagram, YouTube",Facebook,Like & Comment,4,3,3,2,Yes,Joined Group,3,4,4,3,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Twitter (X), Facebook, YouTube",WhatsApp,Like & Comment,5,2,4,3,No,None,5,3,4,4,Emotional storytelling,None
University of Ibadan (UI),Science,Female,21–25,100 Level,Yes,Weekly,Articles/Posts,5,3,4,2,Not sure,"WhatsApp, Instagram",Instagram,Like & Comment,4,4,3,4,Not sure,None,2,3,3,3,Strong visuals,None
Lead City University (LCU),Law,Male,16–20,100 Level,Yes,Daily,Infographics,5,3,5,4,No,"TikTok, Instagram",YouTube,I only view/read,2,4,5,3,No,None,3,5,4,4,Strong visuals,Good job
Lead City University (LCU),Management,Male,21–25,200 Level,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Twitter (X)",TikTok,I only view/read,4,2,4,4,Yes,Stopped Harmful Products,2,4,4,3,Simplicity and clarity,None
Lead City University (LCU),Management,Female,21–25,100 Level,Yes,Weekly,Campaign Flyers,4,3,3,3,No,Facebook,Instagram,Participate in Challenges/Campaigns,3,4,3,4,No,None,2,4,2,1,Strong visuals,None
"The Polytechnic, Ibadan",Business,Female,16–20,500 Level / Postgraduate,Yes,Weekly,Images/Posters,3,5,4,2,Not sure,Facebook,Facebook,Share/Repost,3,3,5,3,Yes,Joined Group,3,4,3,4,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Engineering,Male,26–30,200 Level,Yes,Weekly,Infographics,4,3,3,3,Yes,"Instagram, Facebook",WhatsApp,I only view/read,3,3,5,1,No,None,1,4,2,5,Strong visuals,Make it relatable
Lead City University (LCU),Law,Female,16–20,300 Level,Yes,Weekly,Images/Posters,3,3,3,4,No,YouTube,WhatsApp,Share/Repost,4,3,5,5,No,None,2,2,4,5,Simplicity and clarity,Make it relatable
Lead City University (LCU),Law,Female,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,Instagram,Facebook,Participate in Challenges/Campaigns,3,2,5,4,No,None,1,4,2,1,Real-life statistics,None
University of Ibadan (UI),Social Sciences,Female,21–25,200 Level,Yes,Daily,Articles/Posts,5,4,4,3,No,Instagram,YouTube,Share/Repost,5,5,4,5,Yes,Joined Group,3,5,3,4,Real-life statistics,None
Lead City University (LCU),Applied Sciences,Female,16–20,300 Level,Not sure,Not Applicable,None,3,3,3,3,No,Facebook,Instagram,Share/Repost,4,3,3,3,No,None,4,4,1,3,Emotional storytelling,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,200 Level,Yes,Weekly,Videos/Documentaries,5,4,2,1,No,Facebook,WhatsApp,I only view/read,4,2,3,3,Yes,Tree-planting,3,3,2,3,Real-life statistics,More videos
Lead City University (LCU),Management,Female,16–20,200 Level,Yes,Weekly,Images/Posters,5,3,4,3,No,"WhatsApp, Instagram",WhatsApp,I only view/read,4,4,4,4,No,None,2,4,4,3,Strong visuals,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,300 Level,Yes,Daily,Images/Posters,5,3,5,5,No,Facebook,Instagram,I only view/read,4,2,4,2,No,None,3,5,2,5,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Horticulture,Female,26–30,100 Level,Yes,Weekly,Campaign Flyers,3,4,4,4,No,Facebook,TikTok,I only view/read,3,4,4,4,No,None,3,4,5,2,Real-life statistics,None
University of Ibadan (UI),Social Sciences,Female,21–25,200 Level,Not sure,Not Applicable,None,3,3,3,3,No,Facebook,Facebook,I only view/read,3,4,4,2,No,None,4,4,2,3,Simplicity and clarity,Good job
"The Polytechnic, Ibadan",Engineering,Prefer not to say,16–20,300 Level,Yes,Weekly,Infographics,5,4,3,4,Yes,WhatsApp,Facebook,I only view/read,3,3,5,4,Yes,Stopped Harmful Products,2,5,2,3,Emotional storytelling,None
"The Polytechnic, Ibadan",Science,Female,16–20,200 Level,Yes,Weekly,Infographics,5,5,5,5,Not sure,Instagram,Instagram,Share/Repost,4,3,3,2,No,None,3,5,3,3,Real-life statistics,Make it relatable
"The Polytechnic, Ibadan",Science,Male,Above 30,400 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,YouTube,Like & Comment,4,2,3,3,Yes,Shared Content,4,3,1,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,100 Level,Yes,Daily,Videos/Documentaries,5,3,5,4,No,"WhatsApp, Facebook, Instagram, Twitter (X)",Twitter (X),Like only,5,4,5,4,Yes,"Shared Content, Donation",3,5,4,4,Emotional storytelling,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Male,Above 30,300 Level,Yes,Weekly,Videos/Documentaries,3,2,5,4,No,Facebook,WhatsApp,I only view/read,3,4,5,4,No,None,4,5,2,5,Strong visuals,None
University of Ibadan (UI),Arts,Male,16–20,200 Level,Yes,Weekly,Campaign Flyers,4,4,3,2,Yes,"WhatsApp, Facebook, TikTok",Facebook,I only view/read,5,1,5,4,Yes,Tree-planting,4,5,3,3,Strong visuals,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Male,16–20,400 Level,Yes,Daily,Videos/Documentaries,5,5,4,2,Yes,"WhatsApp, Instagram",Instagram,I only view/read,4,4,4,3,No,None,4,2,4,4,Real-life statistics,None
"The Polytechnic, Ibadan",Business,Female,16–20,400 Level,No,Not Applicable,None,3,3,3,3,No,Twitter (X),Twitter (X),Like only,5,3,4,3,No,None,3,5,5,3,Strong visuals,None
"The Polytechnic, Ibadan",Business,Female,26–30,100 Level,Yes,Daily,Infographics,5,2,4,3,Yes,"Instagram, WhatsApp, Twitter (X)",TikTok,Like only,5,3,4,3,No,None,4,5,1,4,Simplicity and clarity,More videos
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,WhatsApp,TikTok,Participate in Challenges/Campaigns,2,2,5,5,No,None,4,4,3,4,Influencer promotion,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,400 Level,Yes,Daily,Videos/Documentaries,5,4,4,5,Yes,"TikTok, Facebook, Instagram",WhatsApp,I only view/read,2,4,3,2,No,None,4,4,5,5,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,5,3,5,3,No,"Instagram, Twitter (X)",Facebook,Like & Comment,2,3,3,2,No,None,4,4,4,4,Emotional storytelling,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,200 Level,Yes,Rarely,Infographics,3,2,3,1,Yes,"Instagram, Facebook",Instagram,Like only,3,3,4,4,Not sure,None,3,4,5,2,Real-life statistics,None
Lead City University (LCU),Law,Male,21–25,200 Level,Yes,Weekly,Articles/Posts,3,2,2,5,Yes,WhatsApp,WhatsApp,Like only,5,4,5,3,No,None,4,3,3,2,Simplicity and clarity,None
Lead City University (LCU),Law,Female,16–20,100 Level,Yes,Weekly,Images/Posters,5,3,4,1,Yes,Facebook,WhatsApp,Like & Comment,3,4,4,3,Yes,Joined Group,4,4,1,2,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,300 Level,Yes,Rarely,Articles/Posts,2,3,3,3,Yes,"WhatsApp, Instagram",Facebook,Like only,4,4,4,3,Yes,Shared Content,1,3,2,2,Strong visuals,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,Not sure,Not Applicable,None,3,3,3,3,No,"Instagram, WhatsApp",TikTok,Like & Comment,3,4,4,4,Yes,"Tree-planting, Shared Content",4,4,1,3,Simplicity and clarity,Make it relatable
"The Polytechnic, Ibadan",Engineering,Female,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,Facebook,Like only,2,2,3,4,No,None,3,4,1,2,Strong visuals,None
"The Polytechnic, Ibadan",Science,Male,21–25,300 Level,Not sure,Not Applicable,None,3,3,3,3,No,Facebook,TikTok,Like only,3,5,3,3,Yes,Shared Content,1,2,5,2,Strong visuals,Make it relatable
"The Polytechnic, Ibadan",Science,Male,16–20,100 Level,No,Not Applicable,None,3,3,3,3,No,"Facebook, WhatsApp",Facebook,Like only,5,3,4,4,No,None,3,5,2,3,Simplicity and clarity,Collaborate with schools
"Federal College of Agriculture, Ibadan",Horticulture,Female,Above 30,200 Level,Yes,Rarely,Infographics,3,4,4,3,Yes,"YouTube, WhatsApp, Instagram",WhatsApp,Like & Comment,4,3,5,4,Yes,Shared Content,3,4,4,2,Strong visuals,Good job
"The Polytechnic, Ibadan",Science,Female,16–20,400 Level,Yes,Daily,Articles/Posts,4,5,5,3,Yes,Instagram,Instagram,I only view/read,4,3,4,2,No,None,4,4,2,4,Strong visuals,None
University of Ibadan (UI),Science,Male,21–25,200 Level,No,Not Applicable,None,3,3,3,3,No,"Twitter (X), WhatsApp",WhatsApp,Participate in Challenges/Campaigns,2,5,4,2,Yes,Shared Content,3,4,3,2,Emotional storytelling,More videos
University of Ibadan (UI),Arts,Male,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,"Facebook, Instagram",Instagram,Like & Comment,5,4,4,3,No,None,2,4,3,2,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,400 Level,Yes,Rarely,Articles/Posts,2,3,3,2,Yes,"Twitter (X), Instagram",Instagram,Like & Comment,5,4,4,3,No,None,2,3,2,2,Influencer promotion,None
"The Polytechnic, Ibadan",Science,Male,16–20,500 Level / Postgraduate,Yes,Weekly,Images/Posters,4,4,4,2,Yes,"WhatsApp, Instagram",YouTube,Participate in Challenges/Campaigns,3,3,3,4,No,None,2,5,3,3,Real-life statistics,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,300 Level,Yes,Rarely,Campaign Flyers,2,3,2,4,Yes,"Instagram, Twitter (X)",Twitter (X),Like only,3,3,5,5,No,None,3,4,4,4,Emotional storytelling,None
"The Polytechnic, Ibadan",Business,Female,21–25,200 Level,Not sure,Not Applicable,None,3,3,3,3,No,"Facebook, WhatsApp",Instagram,I only view/read,3,2,5,3,Not sure,None,4,3,2,2,Emotional storytelling,Make it relatable
"The Polytechnic, Ibadan",Science,Female,26–30,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,Instagram,Facebook,I only view/read,3,4,3,5,No,None,3,4,3,3,Strong visuals,More videos
"The Polytechnic, Ibadan",Business,Female,16–20,200 Level,Yes,Daily,Infographics,5,5,5,3,Yes,Facebook,Instagram,Share/Repost,3,4,5,4,Yes,Shared Content,3,4,3,4,Influencer promotion,More videos
"The Polytechnic, Ibadan",Engineering,Male,Above 30,300 Level,Yes,Weekly,Videos/Documentaries,2,5,4,3,Yes,Instagram,Twitter (X),I only view/read,4,4,5,3,No,None,4,5,2,4,Strong visuals,Good job
University of Ibadan (UI),Social Sciences,Female,21–25,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,4,5,4,3,No,Instagram,WhatsApp,Like & Comment,5,3,3,3,Yes,Shared Content,5,4,3,5,Strong visuals,Good job
University of Ibadan (UI),Science,Male,16–20,500 Level / Postgraduate,Yes,Rarely,Videos/Documentaries,2,4,3,4,No,Facebook,I do not engage,I only view/read,4,3,5,3,No,None,3,2,3,1,Emotional storytelling,None
University of Ibadan (UI),Renewable Natural Resources,Male,16–20,200 Level,Yes,Rarely,Videos/Documentaries,3,4,1,3,Yes,WhatsApp,Instagram,Like only,5,3,4,5,Yes,"Shared Content, Joined Group",3,3,3,5,Influencer promotion,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,300 Level,Not sure,Not Applicable,None,3,3,3,3,No,Instagram,Facebook,I only view/read,4,3,3,3,Yes,Tree-planting,5,3,2,2,Real-life statistics,None
"The Polytechnic, Ibadan",Business,Male,16–20,200 Level,Yes,Weekly,Videos/Documentaries,2,4,3,4,Yes,TikTok,WhatsApp,I only view/read,4,1,4,4,No,None,2,3,4,3,Strong visuals,None
Lead City University (LCU),Law,Male,21–25,300 Level,Yes,Weekly,Infographics,4,5,4,3,No,"WhatsApp, Instagram, YouTube, Facebook",WhatsApp,Participate in Challenges/Campaigns,5,4,4,3,Yes,Shared Content,5,4,2,3,Strong visuals,None
"The Polytechnic, Ibadan",Engineering,Male,21–25,300 Level,Yes,Weekly,Images/Posters,3,4,4,2,Yes,WhatsApp,Twitter (X),Like only,5,3,5,5,No,None,5,4,4,3,Strong visuals,Make it relatable
University of Ibadan (UI),Arts,Female,16–20,300 Level,Not sure,Not Applicable,None,3,3,3,3,No,"Instagram, WhatsApp",Twitter (X),I only view/read,3,3,4,2,No,None,2,3,2,1,Strong visuals,Good job
Lead City University (LCU),Management,Female,16–20,500 Level / Postgraduate,Yes,Rarely,Videos/Documentaries,3,2,2,2,Yes,Facebook,Instagram,Share/Repost,4,4,5,2,No,None,2,4,1,2,Influencer promotion,More videos
Lead City University (LCU),Applied Sciences,Female,16–20,300 Level,Yes,Weekly,Images/Posters,5,5,1,3,Yes,"WhatsApp, Twitter (X)",TikTok,Like only,4,2,3,5,No,None,3,3,3,1,Emotional storytelling,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,500 Level / Postgraduate,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Twitter (X),Like & Comment,5,2,4,3,Yes,Shared Content,3,2,3,3,Strong visuals,None
University of Ibadan (UI),Arts,Male,21–25,200 Level,Yes,Daily,Articles/Posts,5,5,4,3,No,"Facebook, WhatsApp",Instagram,I only view/read,4,2,5,4,Yes,Shared Content,4,5,3,2,Influencer promotion,More videos
Lead City University (LCU),Management,Prefer not to say,16–20,100 Level,Yes,Rarely,Videos/Documentaries,3,2,4,3,Yes,Instagram,Facebook,Like only,5,4,4,3,No,None,4,4,3,5,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,300 Level,Yes,Weekly,Articles/Posts,1,3,3,2,Yes,"WhatsApp, Instagram",Facebook,Like & Comment,1,4,3,5,No,None,4,5,3,4,Emotional storytelling,None
"The Polytechnic, Ibadan",Science,Male,21–25,100 Level,Yes,Daily,Articles/Posts,2,3,3,5,No,"Instagram, Facebook",WhatsApp,Like & Comment,4,4,4,3,Yes,Shared Content,5,5,5,2,Strong visuals,None
Lead City University (LCU),Applied Sciences,Female,21–25,200 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,Facebook,Like & Comment,3,4,3,3,No,None,1,3,3,3,Strong visuals,None
University of Ibadan (UI),Social Sciences,Female,16–20,100 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Facebook,Like only,3,4,3,5,No,None,3,4,5,2,Influencer promotion,None
"The Polytechnic, Ibadan",Science,Female,16–20,500 Level / Postgraduate,Yes,Rarely,Articles/Posts,2,4,2,3,No,Instagram,WhatsApp,Like only,4,3,5,1,No,None,1,2,3,2,Strong visuals,Good job
Lead City University (LCU),Law,Male,16–20,300 Level,Yes,Rarely,Images/Posters,2,3,3,2,No,WhatsApp,WhatsApp,Like only,3,3,5,3,No,None,5,3,2,3,Strong visuals,None
"The Polytechnic, Ibadan",Business,Female,16–20,200 Level,Yes,Weekly,Articles/Posts,4,4,3,3,Yes,Instagram,YouTube,Like & Comment,5,4,5,3,No,None,5,5,3,4,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Science,Male,21–25,500 Level / Postgraduate,Yes,Daily,Images/Posters,4,5,5,2,Yes,TikTok,Facebook,Like only,4,3,4,2,No,None,3,3,3,5,Simplicity and clarity,None
University of Ibadan (UI),Science,Male,21–25,200 Level,Yes,Weekly,Articles/Posts,4,4,3,3,No,"WhatsApp, Instagram",Twitter (X),I only view/read,5,3,5,4,Yes,"Stopped Harmful Products, Shared Content",5,2,2,3,Emotional storytelling,Collaborate with schools
"The Polytechnic, Ibadan",Business,Female,21–25,300 Level,Yes,Daily,Videos/Documentaries,5,4,4,4,Yes,WhatsApp,TikTok,I only view/read,4,4,4,3,No,None,3,4,4,2,Influencer promotion,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,300 Level,Yes,Rarely,Infographics,3,2,5,1,Yes,TikTok,Instagram,Like only,2,3,4,3,No,None,4,4,4,1,Strong visuals,Make it relatable
University of Ibadan (UI),Social Sciences,Female,21–25,400 Level,Yes,Daily,Images/Posters,5,4,5,3,Yes,Instagram,Facebook,Share/Repost,3,4,3,5,No,None,5,4,3,5,Strong visuals,Good job
University of Ibadan (UI),Social Sciences,Male,21–25,500 Level / Postgraduate,Yes,Rarely,Images/Posters,4,1,3,4,Not sure,Instagram,WhatsApp,I only view/read,4,3,3,4,Yes,"Shared Content, Joined Group",1,3,2,4,Simplicity and clarity,None
Lead City University (LCU),Management,Male,21–25,400 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Facebook,I only view/read,2,4,3,3,Not sure,None,3,3,3,3,Real-life statistics,Good job
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,100 Level,Yes,Rarely,Videos/Documentaries,2,3,3,3,Yes,YouTube,Twitter (X),Like only,4,3,5,2,No,None,2,3,3,4,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,200 Level,Yes,Rarely,Campaign Flyers,4,2,3,5,No,WhatsApp,Twitter (X),Like only,4,2,4,5,No,None,2,4,1,3,Emotional storytelling,Make it relatable
University of Ibadan (UI),Social Sciences,Female,21–25,400 Level,Not sure,Not Applicable,None,3,3,3,3,No,TikTok,Facebook,Like only,1,2,3,4,No,None,3,3,2,1,Influencer promotion,None
Lead City University (LCU),Law,Female,16–20,200 Level,Yes,Daily,Images/Posters,5,5,2,4,No,"WhatsApp, YouTube",Twitter (X),Like only,1,3,5,2,Yes,Joined Group,2,3,3,5,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,400 Level,Yes,Weekly,Campaign Flyers,3,3,4,2,Not sure,"WhatsApp, Facebook",Facebook,I only view/read,3,2,3,2,No,None,3,3,4,5,Strong visuals,Good job
Lead City University (LCU),Management,Male,16–20,300 Level,Yes,Daily,Videos/Documentaries,5,3,4,5,Yes,"WhatsApp, Instagram",Instagram,Like & Comment,4,3,5,4,No,None,3,4,5,4,Strong visuals,Make it relatable
University of Ibadan (UI),Social Sciences,Female,26–30,300 Level,Yes,Rarely,Videos/Documentaries,4,3,4,4,Not sure,"Facebook, YouTube",Facebook,I only view/read,2,4,5,2,No,None,3,4,3,2,Strong visuals,None
Lead City University (LCU),Law,Male,16–20,400 Level,Yes,Weekly,Videos/Documentaries,4,5,3,4,No,"WhatsApp, Instagram",Instagram,I only view/read,5,5,4,3,No,None,3,5,4,4,Simplicity and clarity,Good job
"The Polytechnic, Ibadan",Engineering,Male,21–25,200 Level,Not sure,Not Applicable,None,3,3,3,3,No,Facebook,I do not engage,Like & Comment,3,2,4,3,No,None,4,4,4,5,Influencer promotion,Good job
"The Polytechnic, Ibadan",Business,Female,21–25,400 Level,Yes,Weekly,Infographics,2,4,4,2,Not sure,Instagram,WhatsApp,I only view/read,3,2,3,3,Yes,Shared Content,4,5,3,3,Simplicity and clarity,Good job
"The Polytechnic, Ibadan",Science,Male,16–20,300 Level,Yes,Weekly,Campaign Flyers,3,5,3,1,Yes,"Twitter (X), TikTok",Instagram,Like only,5,4,4,2,No,None,3,3,3,4,Simplicity and clarity,None
"The Polytechnic, Ibadan",Business,Female,21–25,100 Level,Yes,Rarely,Videos/Documentaries,3,4,3,3,No,"WhatsApp, Facebook",Facebook,Like only,5,2,5,4,Yes,Shared Content,1,5,1,1,Emotional storytelling,None
Lead City University (LCU),Management,Male,26–30,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,"Instagram, TikTok, WhatsApp, YouTube",Twitter (X),Share/Repost,5,5,4,4,No,None,4,5,2,3,Strong visuals,None
University of Ibadan (UI),Arts,Female,21–25,300 Level,Yes,Daily,Videos/Documentaries,4,5,4,5,No,"WhatsApp, Facebook",WhatsApp,I only view/read,3,4,5,4,No,None,4,5,4,3,Emotional storytelling,None
"The Polytechnic, Ibadan",Science,Female,26–30,200 Level,Yes,Rarely,Articles/Posts,5,4,4,3,Yes,"WhatsApp, Instagram",Facebook,I only view/read,4,3,4,3,No,None,2,2,2,3,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,300 Level,Yes,Rarely,Campaign Flyers,4,2,3,2,Yes,"Facebook, Instagram, WhatsApp, Twitter (X)",TikTok,I only view/read,4,3,3,4,No,None,3,4,5,2,Strong visuals,More videos
Lead City University (LCU),Management,Female,Above 30,500 Level / Postgraduate,Yes,Weekly,Campaign Flyers,4,5,5,4,No,WhatsApp,Instagram,Participate in Challenges/Campaigns,5,4,3,5,No,None,3,3,4,5,Simplicity and clarity,None
"The Polytechnic, Ibadan",Science,Female,21–25,500 Level / Postgraduate,Yes,Rarely,Campaign Flyers,3,3,3,2,Yes,"Facebook, Twitter (X)",Facebook,Like only,3,3,5,1,No,None,3,5,1,1,Strong visuals,Collaborate with schools
Lead City University (LCU),Management,Male,21–25,100 Level,Yes,Rarely,Videos/Documentaries,4,4,3,2,No,"WhatsApp, Facebook, Instagram",TikTok,I only view/read,4,5,4,2,No,None,1,3,2,2,Simplicity and clarity,Collaborate with schools
"The Polytechnic, Ibadan",Engineering,Male,21–25,200 Level,No,Not Applicable,None,3,3,3,3,No,"Instagram, WhatsApp",Instagram,Like only,5,5,4,3,No,None,4,5,2,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,Yes,Rarely,Videos/Documentaries,2,5,3,2,Not sure,"WhatsApp, YouTube",Instagram,Like & Comment,5,5,5,3,Yes,Shared Content,4,1,4,3,Strong visuals,Good job
Lead City University (LCU),Law,Male,16–20,300 Level,Yes,Rarely,Campaign Flyers,3,4,5,2,Yes,"Facebook, WhatsApp, Instagram",Facebook,I only view/read,5,4,5,4,Yes,Joined Group,3,3,3,2,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,400 Level,Yes,Daily,Images/Posters,3,3,4,3,Yes,"Instagram, Twitter (X), TikTok, WhatsApp",WhatsApp,I only view/read,4,3,4,4,Yes,Shared Content,4,4,4,4,Strong visuals,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Male,Above 30,100 Level,No,Not Applicable,None,3,3,3,3,No,"Facebook, WhatsApp",WhatsApp,Like only,5,4,2,4,Yes,Shared Content,3,3,4,3,Emotional storytelling,More videos
University of Ibadan (UI),Arts,Female,26–30,300 Level,Yes,Weekly,Images/Posters,4,3,5,4,Yes,WhatsApp,Instagram,I only view/read,4,3,4,4,No,None,3,4,4,3,Real-life statistics,Good job
"The Polytechnic, Ibadan",Business,Male,21–25,300 Level,Yes,Weekly,Campaign Flyers,4,5,5,4,No,"Twitter (X), Facebook",Twitter (X),Share/Repost,3,2,5,4,Yes,Joined Group,2,3,4,4,Real-life statistics,None
